filename,timestamp,latitude,longitude,speed_mph,weather_condition_tag
2026_0502_115751_005567F.MP4,2026-05-02 11:57,33.7746,-118.0893,65,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:57,33.7747,-118.0912,64,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7746,-118.0924,64,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7744,-118.0942,56,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7744,-118.0952,50,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7744,-118.0964,41,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7744,-118.0973,44,marine_layer
2026_0502_115751_005567F.MP4,,33.7744,-118.0984,30,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7744,-118.0991,40,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7745,-118.1002,38,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7745,-118.101,40,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7747,-118.102,30,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.7753,-118.1021,29,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:58,33.776,-118.1021,33,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7766,-118.1022,29,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1025,9,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1026,0,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 11:59,33.7768,-118.1029,17,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7767,-118.1032,17,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7761,-118.1032,34,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7753,-118.1032,40,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7745,-118.1031,39,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7737,-118.1032,40,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7728,-118.1032,47,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7718,-118.1033,48,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7709,-118.1032,44,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.77,-118.1032,43,marine_layer
2026_0502_115751_005567F.MP4,2026-05-02 12:00,33.7692,-118.1033,40,marine_layer
