filename,timestamp,latitude,longitude,speed_mph,weather_condition_tag
2026_0419_093240_000199F.MP4,2026-04-19 09:32,32.722,-117.159,19,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:32,32.722,-117.1586,7,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:32,32.722,-117.1583,14,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:32,32.722,,18,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.722,-117.1576,2,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.722,-117.1573,17,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.722,-117.1569,15,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.722,-117.1567,6,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.722,-117.1565,10,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.722,-117.1562,14,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.722,-117.1559,10,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.722,-117.1558,6,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.7218,,16,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.7214,,18,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.7211,-117.1557,13,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:33,32.721,-117.1559,14,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1563,13,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1565,3,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1567,8,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.157,19,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1573,6,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1576,14,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,,19,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1583,9,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1586,13,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1589,12,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1591,2,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:34,32.721,-117.1592,6,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:35,32.721,-117.1595,14,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:35,32.721,-117.1599,17,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:35,32.721,-117.1602,14,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:35,32.721,-117.1606,22,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:35,32.721,-117.1611,19,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:35,32.721,-117.1615,9,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:35,32.721,-117.1617,5,overcast
2026_0419_093240_000199F.MP4,2026-04-19 09:35,32.721,-117.1618,4,overcast
