filename,timestamp,latitude,longitude,speed_mph,weather_condition_tag
2026_0418_140935_000159F.MP4,2026-04-18 02:09,32.868,,0,clear
2026_0418_140935_000159F.MP4,,32.868,-117.238,0,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:09,32.868,,0,clear
2026_0418_140935_000159F.MP4,,32.868,,0,clear
2026_0418_140935_000159F.MP4,,32.868,-117.238,0,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:10,32.868,-117.238,0,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:10,32.868,,11,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:10,32.8675,-117.2378,36,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:10,32.8667,-117.2374,46,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:10,32.8658,-117.237,45,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:10,32.865,-117.2366,42,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:10,32.8642,,39,clear
2026_0418_140935_000159F.MP4,,32.8634,-117.2362,41,clear
2026_0418_140935_000159F.MP4,,32.8625,-117.2363,44,clear
2026_0418_140935_000159F.MP4,,32.8616,-117.2366,46,clear
2026_0418_140935_000159F.MP4,,32.8608,-117.2371,46,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:10,32.8598,,48,clear
2026_0418_140935_000159F.MP4,,32.8588,,51,clear
2026_0418_140935_000159F.MP4,,32.8578,-117.2373,48,clear
2026_0418_140935_000159F.MP4,,32.8568,,50,clear
2026_0418_140935_000159F.MP4,,32.8558,,51,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:11,32.8547,-117.2372,50,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:11,32.8537,-117.2371,48,clear
2026_0418_140935_000159F.MP4,,,,49,clear
2026_0418_140935_000159F.MP4,2026-04-18 02:11,32.8518,,50,clear
2026_0418_140935_000159F.MP4,,32.8509,,39,clear
2026_0418_140935_000159F.MP4,,32.8504,,15,clear
2026_0418_140935_000159F.MP4,,32.8502,,3,clear
2026_0418_140935_000159F.MP4,,32.8502,-117.2359,0,clear
2026_0418_140935_000159F.MP4,,32.8501,-117.2359,8,clear
2026_0418_140935_000159F.MP4,,32.85,-117.2358,17,clear
2026_0418_140935_000159F.MP4,,32.8495,,26,clear
2026_0418_140935_000159F.MP4,,32.849,,14,clear
2026_0418_140935_000159F.MP4,,32.8489,,2,clear
2026_0418_140935_000159F.MP4,,32.8488,-117.236,1,clear
2026_0418_140935_000159F.MP4,,32.8488,,0,clear
