filename,timestamp,latitude,longitude,speed_mph
2026_0424_183650_000039F.MP4,2026-04-24 18:36,32.7105,,17
2026_0424_183650_000039F.MP4,2026-04-24 18:36,32.7108,,19
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7112,-117.2297,22
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7115,,22
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7119,,22
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7122,,22
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7126,,25
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7129,,25
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7133,,26
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7136,,24
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7139,,24
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7143,-117.226,26
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.7147,-117.2255,26
2026_0424_183650_000039F.MP4,2026-04-24 18:37,32.715,,25
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7154,-117.2247,25
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7158,,24
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7161,-117.2239,22
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7164,-117.2235,22
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7167,-117.223,23
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.717,,22
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7172,-117.2223,20
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7174,,17
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7177,-117.2216,12
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7178,,10
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7177,-117.2212,9
2026_0424_183650_000039F.MP4,2026-04-24 18:38,32.7177,-117.221,8
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7179,,14
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7181,-117.2206,12
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7182,-117.2205,11
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7184,-117.2206,8
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7183,,11
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7181,-117.2209,15
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7178,,13
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7178,,4
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7179,,4
2026_0424_183650_000039F.MP4,2026-04-24 18:39,32.7179,-117.2216,6
