filename,timestamp,latitude,longitude,speed_mph
2026_0425_160149_000091F.MP4,2026-04-25 16:01,32.7799,-117.2206,34
2026_0425_160149_000091F.MP4,2026-04-25 16:01,32.7802,-117.2211,32
2026_0425_160149_000091F.MP4,2026-04-25 16:01,32.7804,-117.2218,23
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7801,-117.2221,17
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7797,-117.2223,19
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7794,-117.2225,20
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7789,,25
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7785,,23
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.778,,23
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7776,,23
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.777,,23
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7767,-117.2225,21
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7763,,23
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7759,,27
2026_0425_160149_000091F.MP4,2026-04-25 16:02,32.7753,-117.2215,27
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7749,,25
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7744,-117.2214,22
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.774,,23
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7735,,18
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7732,-117.2214,17
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7731,-117.221,17
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.773,,19
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7726,,25
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7724,,26
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7719,-117.2192,26
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.7716,,30
2026_0425_160149_000091F.MP4,2026-04-25 16:03,32.771,-117.2184,26
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.7707,,25
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.7701,-117.2179,26
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.7696,,26
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.769,,25
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.7686,,22
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.7682,,21
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.7679,,24
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.7675,-117.2165,22
2026_0425_160149_000091F.MP4,2026-04-25 16:04,32.7674,-117.2161,22
