clip,session_date,rows,wet_pavement,marine_layer,glare,clear,overcast,unknown
2026_0502_104333_005507F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_104634_005509F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_104935_005511F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_105235_005513F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_105536_005515F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_105837_005517F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_110137_005519F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_110438_005521F_gps.csv,2026-05-02,25,0,25,0,0,0,0
2026_0502_110941_005535F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_111242_005537F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_111542_005539F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_111843_005541F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_112144_005543F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_112444_005545F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_112745_005547F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_113046_005549F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_113346_005551F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_113647_005553F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_113947_005555F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_114248_005557F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_114549_005559F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_114849_005561F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_115150_005563F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_115451_005565F_gps.csv,2026-05-02,36,0,36,0,0,0,0
2026_0502_115751_005567F_gps.csv,2026-05-02,36,0,36,0,0,0,0
