clip,session_date,rows,wet_pavement,marine_layer,glare,clear,overcast,unknown
2026_0422_182038_000309F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_182338_000311F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_182638_000313F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_182938_000315F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_183238_000317F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_183538_000319F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_183838_000321F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_184138_000323F_gps.csv,2026-04-22,11,0,0,11,0,0,0
2026_0422_184738_000325F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_185038_000327F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_185338_000329F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_185638_000331F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_185938_000333F_gps.csv,2026-04-22,36,0,0,36,0,0,0
2026_0422_190238_000335F_gps.csv,2026-04-22,36,0,0,36,0,0,0
