clip,session_date,rows,wet_pavement,marine_layer,glare,clear,unknown
2026_0417_114141_000045F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_114441_000047F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_114741_000049F_gps.csv,2026-04-17,139,0,0,139,0,0
2026_0417_115520_000051F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_115820_000053F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_120120_000055F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_120420_000057F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_120720_000059F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_121020_000061F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_121320_000063F_gps.csv,2026-04-17,109,0,0,109,0,0
2026_0417_121738_000065F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_122038_000067F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_122338_000069F_gps.csv,2026-04-17,180,0,0,177,0,3
2026_0417_122638_000071F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_122938_000073F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_123238_000075F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_123538_000077F_gps.csv,2026-04-17,180,0,0,179,0,1
2026_0417_123838_000079F_gps.csv,2026-04-17,180,0,0,177,0,3
2026_0417_124138_000081F_gps.csv,2026-04-17,180,0,0,180,0,0
2026_0417_124438_000083F_gps.csv,2026-04-17,180,0,0,179,0,1
2026_0417_124738_000085F_gps.csv,2026-04-17,51,0,0,51,0,0
