clip,session_date,rows,wet_pavement,marine_layer,glare,clear,unknown
2026_0418_124024_000101F_gps.csv,2026-04-18,36,0,0,36,0,0
2026_0418_124324_000103F_gps.csv,2026-04-18,36,0,0,35,0,1
2026_0418_124624_000105F_gps.csv,2026-04-18,36,0,0,36,0,0
2026_0418_124924_000107F_gps.csv,2026-04-18,36,0,0,36,0,0
2026_0418_125224_000109F_gps.csv,2026-04-18,36,0,0,35,0,1
2026_0418_125524_000111F_gps.csv,2026-04-18,36,0,0,36,0,0
2026_0418_125824_000113F_gps.csv,2026-04-18,36,0,0,24,12,0
2026_0418_130124_000115F_gps.csv,2026-04-18,36,0,0,0,35,1
2026_0418_130424_000117F_gps.csv,2026-04-18,36,0,0,0,35,1
2026_0418_130724_000119F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_131024_000121F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_131324_000123F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_131624_000125F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_131924_000127F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_132224_000129F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_132524_000131F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_132824_000133F_gps.csv,2026-04-18,36,0,0,0,35,1
2026_0418_133124_000135F_gps.csv,2026-04-18,36,0,0,0,35,1
2026_0418_133424_000137F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_133724_000139F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_134024_000141F_gps.csv,2026-04-18,36,0,0,0,35,1
2026_0418_134324_000143F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_134624_000145F_gps.csv,2026-04-18,36,0,0,0,34,2
2026_0418_134924_000147F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_135224_000149F_gps.csv,2026-04-18,36,0,0,0,35,1
2026_0418_135524_000151F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_135824_000153F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_140124_000155F_gps.csv,2026-04-18,29,0,0,0,29,0
2026_0418_140635_000157F_gps.csv,2026-04-18,36,0,0,0,33,3
2026_0418_140935_000159F_gps.csv,2026-04-18,36,0,0,0,0,36
2026_0418_141235_000161F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_141535_000163F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_141835_000165F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_142135_000167F_gps.csv,2026-04-18,36,0,0,0,36,0
2026_0418_142435_000169F_gps.csv,2026-04-18,36,0,0,0,35,1
2026_0418_142735_000171F_gps.csv,2026-04-18,36,0,0,0,33,3
