clip,session_date,rows,wet_pavement,marine_layer,glare,clear,overcast,unknown
2026_0425_154949_000083F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_155249_000085F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_155549_000087F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_155849_000089F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_160149_000091F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_160449_000093F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_160749_000095F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_161049_000097F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_162249_000105F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_162549_000107F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_162849_000109F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_163149_000111F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_163449_000113F_gps.csv,2026-04-25,28,28,0,0,0,0,0
2026_0425_164020_000115F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_164320_000117F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_164620_000119F_gps.csv,2026-04-25,36,36,0,0,0,0,0
2026_0425_164920_000121F_gps.csv,2026-04-25,32,32,0,0,0,0,0
